career,skills,description,learning_path,projects,resources,resume_keywords,domain
Data Scientist,"python, pandas, numpy, scikit-learn, statistics, sql, visualization, ml","Builds models and extracts insights from data; requires strong programming and statistics background.","1. Learn Python basics and data libraries (Pandas/Numpy); 2. Learn SQL for data access; 3. Study statistics and probability; 4. Learn ML (scikit-learn); 5. Build projects and deploy models.","Kaggle classification, Sales forecasting project","Coursera: Applied Data Science, Kaggle Learn","python; machine learning; data analysis","AI/ML"
Machine Learning Engineer,"python, scikit-learn, tensorflow, pytorch, mlops, docker, model-deployment","Designs, trains and productionizes ML models; combines software engineering with ML expertise.","1. Master Python and ML fundamentals; 2. Deep learning frameworks (PyTorch/TensorFlow); 3. Model evaluation + tuning; 4. Learn MLOps (Docker, CI/CD); 5. Deploy models to cloud.","Image classifier with PyTorch; Deploy model behind REST API","Fast.ai, DeepLearning.AI","deep learning; model deployment; PyTorch","AI/ML"
AI Researcher,"python, deep learning, math, research, tensorflow, pytorch","Conducts research on new ML/AI techniques; requires strong math & academic skills.","1. Learn linear algebra and probability; 2. Study deep learning foundations; 3. Read research papers; 4. Build research prototypes; 5. Publish or join labs.","Implement research paper; novel architecture experiment","arXiv, Papers With Code","research; deep learning; publications","Research"
Data Engineer,"python, sql, etl, spark, hadoop, airflow, pipeline, database","Builds and maintains data pipelines and infrastructure at scale.","1. Learn SQL and database fundamentals; 2. ETL concepts and Python scripts; 3. Learn Spark/Hadoop for big data; 4. Orchestrate using Airflow; 5. Cloud data services.","ETL pipeline from API to warehouse; Spark ingestion job","Udacity Data Engineering Nanodegree","ETL; data pipelines; Spark","Data/Engineering"
Big Data Engineer,"hadoop, spark, kafka, scala, java, sql, aws, azure","Designs large-scale data processing systems; focuses on throughput and scalability.","1. Learn distributed systems basics; 2. Learn Hadoop and Spark; 3. Messaging systems (Kafka); 4. Cloud data stores; 5. Optimize pipelines.","Realtime log pipeline; Spark streaming dashboard","Confluent Kafka courses","big data; spark; kafka","Data/Engineering"
Data Analyst,"excel, sql, tableau, python, visualization, statistics","Analyzes business data and builds dashboards; often the entry point to data careers.","1. Strong Excel skills; 2. Learn SQL for queries; 3. Master visualization tools (Tableau/PowerBI); 4. Learn Python basics for automation; 5. Build dashboards.","Sales dashboard in Tableau; ETL with Python","Mode Analytics SQL tutorials","data visualization; SQL; dashboard","Data/Analytics"
Business Analyst,"excel, sql, communication, business-analysis, tableau, stakeholder-management","Translates business needs into analytics and requirements; focuses on stakeholder communication.","1. Learn Excel and SQL; 2. Business process modeling; 3. Reporting tools; 4. Soft skills & presentations; 5. Case studies.","Market analysis report; KPI measurement dashboard","Business Analysis courses","requirements gathering; KPI; stakeholder","Business"
Cloud Engineer,"aws, azure, gcp, devops, terraform, kubernetes, docker","Builds and maintains cloud infrastructure and deployment pipelines.","1. Basic Linux and networking; 2. Learn a cloud provider (AWS/Azure/GCP); 3. Docker + Kubernetes; 4. IaC (Terraform); 5. CI/CD pipelines.","Deploy containerized app with Kubernetes","AWS Solutions Architect, Kube By Example","cloud; kubernetes; terraform","Cloud"
DevOps Engineer,"linux, docker, kubernetes, jenkins, cicd, aws, monitoring","Automates software delivery pipelines and manages infra reliability.","1. Linux basics; 2. Containerization (Docker); 3. Kubernetes orchestration; 4. CI/CD tooling; 5. Monitoring and SRE practices.","Implement CI/CD for microservices; Setup Prometheus/Grafana","Linux Foundation DevOps","cicd; containerization; monitoring","DevOps"
Site Reliability Engineer,"linux, monitoring, incident-response, kubernetes, automation, scripting","Combines software engineering and system administration to run reliable services.","1. Learn Linux and scripting; 2. Understand networking; 3. Observability and alerting; 4. Automation with Ansible/Terraform; 5. Incident response drills.","Build incident playbooks; run blameless postmortems","SRE books, Google SRE","reliability; automation; monitoring","DevOps"
Backend Developer,"python, java, go, rest, api, databases, docker","Builds server-side logic, APIs and database interactions.","1. Learn a backend language; 2. RESTful APIs & web frameworks; 3. Database design; 4. Authentication & security; 5. Deploy services.","REST API for product catalog; auth system","Designing Data-Intensive Applications","api design; backend; databases","Software"
Frontend Developer,"html, css, javascript, react, accessibility, ui","Builds interactive user interfaces and client-side experience.","1. HTML/CSS fundamentals; 2. JavaScript deep dive; 3. Frameworks (React/Vue); 4. State management and performance; 5. UI/UX basics.","SPA with React + Redux","freeCodeCamp, Frontend Masters","react; javascript; frontend","Software"
Full Stack Developer,"javascript, nodejs, react, sql, rest, docker, testing","Works both on frontend and backend to build full applications.","1. Learn front-end basics; 2. Learn backend APIs; 3. Database & auth; 4. Integrate front/back; 5. Deploy end-to-end.","Fullstack todo app with auth","The Odin Project","fullstack; REST; nodejs","Software"
Mobile Developer,"java, kotlin, swift, flutter, android, ios","Builds mobile applications for Android and iOS platforms.","1. Learn platform basics (Android/iOS); 2. UI patterns for mobile; 3. Networking & storage; 4. Publish to app stores; 5. Cross-platform frameworks.","Weather app in Flutter; Android camera app","Android Developers, Ray Wenderlich","mobile; android; ios","Software"
